#root,dhatu,gana,meanings
#Karx1,Karxaz,BvAxiH,xanxaSUke
Karb1,Karbaz,BvAxiH,gawO
#Karv1,Karvaz,BvAxiH,xarpe
Kal1,Kalaz,BvAxiH,saFcaye
Kav1,Kavaz,kryAxiH,MISSING
KaR1,KaRaz,BvAxiH,hiMsArWaH
KAx1,KAxqz,BvAxiH,BakRaNe
Kit1,Kitaz,BvAxiH,wrAse
Kix1,Kixaz,xivAxiH,xEnye
#Kix2,Kixaz,wuxAxiH,pariGAwe
Kix3,Kixaz,ruXAxiH,xEnye
Ku1,Kuf,BvAxiH,Sabxe
Kuj1,Kujuz,BvAxiH,sweyakaraNe
#Kud1,Kudaz,wuxAxiH,MISSING
KuNd1,Kudiz,curAxiH,KaNdane
#Kur1,Kuraz,wuxAxiH,Cexane
Kurx1,Kurxaz,BvAxiH,krIdAyAmeva
Keta1,Keta,curAxiH,MISSING
#Keda1,Keda,curAxiH,BakRaNe
Kel1,KeLz,BvAxiH,calane
Kev1,Kevqz,BvAxiH,sevane
KE1,KE,BvAxiH,Kaxane
#Kota1,Kota,curAxiH,MISSING
Kor1,Korqz,BvAxiH,gawiprawiGAwe
Kol1,KoLz,BvAxiH,gawiprawiGAwe
KyA1,KyA,axAxiH,prakaWane
#Kru1,Kruf,BvAxiH,MISSING
gaj1,gajaz,BvAxiH,Sabxe maxe ca
gaj2,gajaz,curAxiH,SabxArWaH
gaFj1,gajiz,BvAxiH,SabxArWaH
gad1,gadaz,BvAxiH,secane
gaNa1,gaNa,curAxiH,safKyAne
gaNd1,gadiz,BvAxiH,vaxanEkaxeSe
gaNd2,gadiz,BvAxiH,vaxanEkaxeSe
gax1,gaxaz,BvAxiH,vyakwAyAM vAci
gax2,gaxIz,curAxiH,xevaSabxe
ganX1,ganXaz,curAxiH,arxane
gam1,gamLz,BvAxiH,gawO
garj1,garjaz,BvAxiH,Sabxe
garj2,garjaz,curAxiH,aBikAfkRAyAm
garx1,garxaz,BvAxiH,Sabxe
garx2,garxaz,curAxiH,aBikAfkRAyAm
garX1,garXaz,curAxiH,aBikAfkRAyAm
garb1,garbaz,BvAxiH,gawO
#gam1,gamL,BvAxiH,gawO
garva1,garva,curAxiH,mAne
garv1,garvaz,BvAxiH,xarpe
garh1,garhaz,BvAxiH,kuwsAyAm
garh2,garhaz,curAxiH,vininxane
gal1,galaz,BvAxiH,axane
gal2,galaz,curAxiH,sravaNe
#gal3,galaz,curAxiH,MISSING
galB1,galBaz,BvAxiH,XArRtye
galh1,galhaz,BvAxiH,kuwsAyAm
gaveRa1,gaveRa,curAxiH,mArgaNe
gA1,gAf,BvAxiH,gawO
gA2,gA,juhowyAxiH,swuwO
gAX1,gAXqz,BvAxiH,prawiRTAlipsayorgranWe ca
gAh1,gAhUz,BvAxiH,vilodane
gu1,guf,BvAxiH,Sabxe
gu2,gu,wuxAxiH,purIRowsarge
#guj1,gujaz,BvAxiH,MISSING
guj2,gujaz,wuxAxiH,Sabxe
guFj1,gujiz,BvAxiH,avyakwe Sabxe
gud1,gudaz,wuxAxiH,rakRAyAm
guNa1,guNa,curAxiH,AmanwraNe
guNT1,guTiz,curAxiH,veRtane
guNd1,gudiz,curAxiH,rakRaNe
#guW1,guWaz,xivAxiH,MISSING
